Date;Platform;Users;Profiled Mentors;Profiled Mentees;Total Profiled;Total Non-Profiled;Mentees Who Initiated Relationship;Mentors Currently in Relationship;Mentors Completed Relationship;Mentors Ever in Relationship;Mentees Currently in Relationship;Mentees Completed Relationship;Mentees Ever in Relationship;No: of Active Relationships;No: of Completed Relationships;Total no. of Request Initiated;Current no. of Requests Pending;Current no. of Requests Accepted;Current no. of Requests Completed;Current no. of Requests Expired;Current no. of Requests Declined;Current no. of Requests Removed;No: of Roundtable;No: of Roundtable Users;No: of Roundtable Posts;No: of Insights;Insight Comments;Connections (Followers and Being Followed);Total Messages;Message Posts;Meetings (Upcoming);Meetings (Completed);Meetings (Deleted);Meetings (Total);Profiled;Mentees who initiated a Request;Mentors in an Active Relationship;Mentees in an Active Relationship;Mentors Completed Relationship;Mentees Completed Relationship;Mentors in either Active or Completed Relationship;Mentees in either Active or Completed Relationship;Number of Active Relationships;Number of Completed Relationships;;;;;;;
5/25/20;Company_30;5;3;3;3;2;0;0;0;0;0;0;0;0;0;;;;;;;;14;3;;27;6;1;0;0;0;0;0;0;60.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/25/20;Company_32;4;3;2;3;1;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;75.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/25/20;Company_36;1978;533;793;1878;100;460;55;325;350;62;269;319;67;669;;;;;;;;18;438;;301;143;2085;0;0;0;0;0;0;94.94%;58.01%;10.32%;7.82%;60.98%;33.92%;65.67%;40.23%;67;669;;;;;;;
5/25/20;Company_42;44;25;19;34;10;4;2;3;5;2;2;3;2;3;;;;;;;;1;2;;17;0;6;0;0;0;0;0;0;77.27%;21.05%;8.00%;10.53%;12.00%;10.53%;20.00%;15.79%;2;3;;;;;;;
5/25/20;Company_43;4;2;3;3;1;0;0;1;1;0;1;1;0;1;;;;;;;;1;2;;9;1;1;0;0;0;0;0;0;75.00%;0.00%;0.00%;0.00%;50.00%;33.33%;50.00%;33.33%;0;1;;;;;;;
5/25/20;Company_45;116;72;78;99;17;16;20;13;26;16;13;24;23;19;;;;;;;;25;16;;27;2;69;0;0;0;0;0;0;85.34%;20.51%;27.78%;20.51%;18.06%;16.67%;36.11%;30.77%;23;19;;;;;;;
5/25/20;Company_56;507;260;199;420;87;28;71;45;103;71;61;123;71;77;;;;;;;;9;49;;66;22;150;;;;;;;82.84%;14.07%;27.31%;35.68%;17.31%;30.65%;39.62%;61.81%;71;77;;;;;;;
5/25/20;Company_60;7;4;3;5;2;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;;0;0;0;;;;;;;71.43%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/25/20;Company_61;162;72;73;145;17;0;57;0;57;57;0;57;57;0;;;;;;;;0;0;;15;15;6300.00%;;;;;;;89.51%;0.00%;79.17%;78.08%;0.00%;0.00%;79.17%;78.08%;57;0;;;;;;;
5/25/20;Company_62;171;78;99;136;35;12;0;14;14;0;11;11;0;15;;;;;;;;0;0;;22;5;6400.00%;;;;;;;79.53%;12.12%;0.00%;0.00%;17.95%;11.11%;17.95%;11.11%;0;15;;;;;;;
5/25/20;Company_72;3577;1829;2201;3136;441;57;3;24;26;4;23;27;4;29;;;;;;;;2;23;;24;4;139;;;;;;;87.67%;2.59%;0.16%;0.18%;1.31%;1.04%;1.42%;1.23%;4;29;;;;;;;
